Nature mutation,Valeur fonciere,Type local,Nombre pieces principales,Surface,Latitude,Longitude
Vente,427350.0,Appartement,1,29.15,48.8560484,2.3581662
Vente,280000.0,Appartement,2,30.01,48.8965983,2.3287002
Vente,25000.0,Appartement,2,58.0,48.8972896,2.3470398
Vente,620000.0,Appartement,2,46.3,48.8637283,2.3634669
Vente,325000.0,Appartement,1,38.22,48.883899,2.3762859
Vente,544300.0,Appartement,2,47.81,48.8920158,2.3237983
Vente,866390.0,Appartement,2,38.08,48.8684716,2.3901094
Vente,866390.0,Appartement,2,38.75,48.8684716,2.3901094
Vente,727000.0,Appartement,3,66.41,48.8772531,2.3498843
Vente,193000.0,Appartement,2,28.0,48.8765059,2.3870678
Vente,354690.0,Appartement,1,23.0,48.8879154,2.3535767
Vente,390000.0,Appartement,2,36.68,48.8752411,2.3840684
Vente,1700000.0,Appartement,3,95.7,48.8687383,2.305139
Vente,55000.0,Appartement,2,12.73,48.8689554,2.2994002
Vente,776000.0,Appartement,3,81.31,48.8954848,2.3380463
Vente,715000.0,Appartement,2,58.19,48.8903051,2.3196313
Vente,926950.0,Appartement,4,88.6,48.885004,2.330688
Vente,350000.0,Appartement,2,37.74,48.8928705,2.3357228
Vente,400000.0,Appartement,3,40.24,48.8864594,2.3483838
Vente,569885.0,Appartement,2,53.72,48.8877688,2.3616694
Vente,911200.0,Appartement,3,71.85,48.8708981,2.3114832
Vente,273500.0,Appartement,2,26.5,48.8964176,2.3396041
Vente,710000.0,Appartement,4,80.95,48.8844081,2.3758395
Vente,188000.0,Appartement,1,19.76,48.8581715,2.409531
Vente,300750.0,Appartement,2,28.24,48.8814675,2.3341746
Vente,194500.0,Appartement,1,18.86,48.8784339,2.3755362
Vente,165000.0,Appartement,1,18.25,48.871515,2.3502056
Vente,178600.0,Appartement,1,22.76,48.8885871,2.3540141
Vente,328545.1,Appartement,2,35.27,48.8615934,2.4054312
Vente,205000.0,Appartement,1,17.9,48.8698661,2.3669191
Vente,384000.0,Appartement,1,38.53,48.8948894,2.3447302
Vente,317000.0,Appartement,1,30.06,48.8785362,2.3730378
Vente,916030.0,Appartement,4,128.0,48.8735943,2.3976251
Vente,495000.0,Appartement,3,44.91,48.8770841,2.344633
Vente,800000.0,Appartement,2,64.31,48.8575109,2.3562432
Vente,557400.0,Appartement,2,43.7,48.8835056,2.322847
Vente,359000.0,Appartement,1,29.51,48.868928999999994,2.390250764226674
Vente,220000.0,Appartement,2,24.01,48.8741981,2.3159375
Vente,172000.0,Appartement,1,16.78,48.8917103,2.3822059
Vente,420000.0,Appartement,2,1.1,48.894996,2.337231
Vente,322550.0,Appartement,2,36.04,48.8867145,2.3503732
Vente,732200.0,Appartement,3,72.2,48.8789191,2.3841983
Vente,695000.0,Appartement,3,79.96,48.8733593,2.395882
Vente,365000.0,Appartement,3,42.33,48.8826347,2.3611182
Vente,737300.0,Appartement,3,77.6,48.889835,2.3498045
Vente,305000.0,Appartement,2,33.05,48.8919099,2.3471914
