Adresse,location,Latitude,Longitude
39 RUE DU POTEAU 75018 PARIS FRANCE,"39, Rue du Poteau, Quartier de Clignancourt, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France",48.8942755,2.341281
28 RUE LESAGE 75020 PARIS FRANCE,"28, Rue Lesage, Quartier de Belleville, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France",48.8724553,2.3828753
48 RUE DES HAIES 75020 PARIS FRANCE,"48, Rue des Haies, Quartier de Charonne, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France",48.8535854,2.4020289
39 RUE SAINT FARGEAU 75020 PARIS FRANCE,"39, Rue Saint-Fargeau, Quartier Saint-Fargeau, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France",48.8717737,2.403202
5 CITE HERON 75010 PARIS FRANCE,"Cité Héron, Quartier de l'Hôpital Saint-Louis, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France",48.8748625,2.365483
395 RUE DES PYRENEES 75020 PARIS FRANCE,"395, Rue des Pyrénées, Quartier de Charonne, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France",48.8737857,2.3865167
50 RUE LABAT 75018 PARIS FRANCE,"50, Rue Labat, Quartier de Clignancourt, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France",48.8890148,2.3472155
38 RUE DU TEMPLE 75004 PARIS FRANCE,"38, Rue du Temple, Quartier Saint-Merri, Paris 4e Arrondissement, Paris, Île-de-France, France métropolitaine, 75004, France",48.8597485,2.3543473
8 RUE GUSTAVE ROUANET 75018 PARIS FRANCE,"8, Rue Gustave Rouanet, Quartier des Grandes-Carrières, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France",48.8964399,2.3400878
46 AV MATHURIN MOREAU 75019 PARIS FRANCE,"46, Avenue Mathurin Moreau, Quartier du Combat, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France",48.8785059,2.3759187
2 AV DE SAINT OUEN 75018 PARIS FRANCE,"Avenue de Saint-Ouen (Hôpital Bichat), Avenue de Saint-Ouen, Quartier des Grandes-Carrières, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France",48.8973254,2.3289797
23 RUE RODIER 75009 PARIS FRANCE,"23, Rue Rodier, Quartier de Rochechouart, Paris 9e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France",48.8788391,2.3429485
7 BD BERTHIER 75017 PARIS FRANCE,"Boulevard Berthier, Quartier des Batignolles, Paris 17e Arrondissement, Paris, Île-de-France, France métropolitaine, 75017, France",48.8915101,2.3068184
21 RUE SIMART 75018 PARIS FRANCE,"21, Rue Simart, Quartier de Clignancourt, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France",48.8908321,2.3478224
10 RUE DE TREVISE 75009 PARIS FRANCE,"10, Rue de Trévise, Quartier du Faubourg-Montmartre, Paris 9e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France",48.8732826,2.3452319
19 RUE COMMINES 75003 PARIS FRANCE,"SEAGALE, 19, Rue Commines, Quartier des Enfants-Rouges, Paris 3e Arrondissement, Paris, Île-de-France, France métropolitaine, 75003, France",48.8623549,2.3664618
